# 2023-01-10T14:05:24+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.265
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.188
# FWHM Valid: TRUE
# FIT MSE: 3.407087568636E-7
# Amplitude: 0.094469
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
-2.758355615405E+0	5.656093317773E-3	5.457068591844E-3
-2.758190656619E+0	4.685271330394E-3	5.457068591844E-3
-2.758023867177E+0	5.740512621024E-3	5.457068591844E-3
-2.757855249229E+0	5.529464362898E-3	5.457068591844E-3
-2.757684804925E+0	5.318416104772E-3	5.457068591844E-3
-2.757512536417E+0	5.529464362898E-3	5.457068591844E-3
-2.757338445855E+0	4.347594117393E-3	5.457068591844E-3
-2.757162535389E+0	5.149577498271E-3	5.457068591844E-3
-2.756984807172E+0	6.120399485650E-3	5.457068591844E-3
-2.756805263353E+0	5.107367846646E-3	5.457068591844E-3
-2.756623906083E+0	5.022948543396E-3	5.457068591844E-3
-2.756440737514E+0	5.318416104772E-3	5.457068591844E-3
-2.756255759795E+0	4.980738891770E-3	5.457068591844E-3
-2.756068975078E+0	5.656093317773E-3	5.457068591844E-3
-2.755880385514E+0	5.824931924274E-3	5.457068591844E-3
-2.755689993253E+0	5.698302969398E-3	5.457068591844E-3
-2.755497800446E+0	4.938529240145E-3	5.457068591844E-3
-2.755303809244E+0	4.685271330394E-3	5.457068591844E-3
-2.755108021797E+0	4.769690633645E-3	5.457068591844E-3
-2.754910440257E+0	5.276206453147E-3	5.457068591844E-3
-2.754711066774E+0	5.022948543396E-3	5.457068591844E-3
-2.754509903500E+0	5.318416104772E-3	5.457068591844E-3
-2.754306952584E+0	5.022948543396E-3	5.457068591844E-3
-2.754102216178E+0	5.149577498271E-3	5.457068591844E-3
-2.753895696432E+0	5.191787149896E-3	5.457068591844E-3
-2.753687395497E+0	4.727480982019E-3	5.457068591844E-3
-2.753477315525E+0	4.685271330394E-3	5.457068591844E-3
-2.753265458665E+0	4.305384465768E-3	5.457068591844E-3
-2.753051827069E+0	4.432013420643E-3	5.457068591844E-3
