# 2023-01-06T13:46:45+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.260
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.190
# FWHM Valid: FALSE (No Signal)
# FIT MSE: 3.307543451984E-7
# Amplitude: 0.014655
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
-2.766092349542E+0	3.925497601141E-3	4.044398247406E-3
-2.765957156623E+0	3.756658994640E-3	4.044398247406E-3
-2.765820258096E+0	4.516432723893E-3	4.044398247406E-3
-2.765681654287E+0	5.022948543396E-3	4.044398247406E-3
-2.765541345522E+0	4.347594117393E-3	4.044398247406E-3
-2.765399332130E+0	4.516432723893E-3	4.044398247406E-3
-2.765255614436E+0	4.938529240145E-3	4.044398247406E-3
-2.765110192767E+0	4.474223072268E-3	4.044398247406E-3
-2.764963067449E+0	3.798868646266E-3	4.044398247406E-3
-2.764814238811E+0	4.052126556017E-3	4.044398247406E-3
-2.764663707177E+0	4.516432723893E-3	4.044398247406E-3
-2.764511472876E+0	3.967707252766E-3	4.044398247406E-3
-2.764357536233E+0	3.714449343015E-3	4.044398247406E-3
-2.764201897576E+0	4.094336207642E-3	4.044398247406E-3
-2.764044557231E+0	4.432013420643E-3	4.044398247406E-3
-2.763885515525E+0	4.685271330394E-3	4.044398247406E-3
-2.763724772785E+0	4.389803769018E-3	4.044398247406E-3
-2.763562329337E+0	3.883287949516E-3	4.044398247406E-3
-2.763398185508E+0	4.811900285270E-3	4.044398247406E-3
-2.763232341625E+0	4.980738891770E-3	4.044398247406E-3
-2.763064798014E+0	4.811900285270E-3	4.044398247406E-3
-2.762895555003E+0	4.727480982019E-3	4.044398247406E-3
-2.762724612917E+0	4.220965162517E-3	4.044398247406E-3
-2.762551972085E+0	3.714449343015E-3	4.044398247406E-3
-2.762377632832E+0	4.432013420643E-3	4.044398247406E-3
-2.762201595485E+0	4.389803769018E-3	4.044398247406E-3
-2.762023860371E+0	3.714449343015E-3	4.044398247406E-3
-2.761844427817E+0	4.136545859267E-3	4.044398247406E-3
-2.761663298149E+0	3.883287949516E-3	4.044398247406E-3
-2.761480471694E+0	5.149577498271E-3	4.044398247406E-3
-2.761295948779E+0	4.896319588520E-3	4.044398247406E-3
-2.761109729730E+0	3.630030039765E-3	4.044398247406E-3
-2.760921814875E+0	4.220965162517E-3	4.044398247406E-3
-2.760732204540E+0	4.136545859267E-3	4.044398247406E-3
-2.760540899051E+0	4.389803769018E-3	4.044398247406E-3
-2.760347898736E+0	4.347594117393E-3	4.044398247406E-3
-2.760153203921E+0	5.233996801521E-3	4.044398247406E-3
-2.759956814933E+0	4.516432723893E-3	4.044398247406E-3
-2.759758732099E+0	4.094336207642E-3	4.044398247406E-3
-2.759558955745E+0	3.925497601141E-3	4.044398247406E-3
-2.759357486199E+0	5.107367846646E-3	4.044398247406E-3
-2.759154323786E+0	3.841078297891E-3	4.044398247406E-3
-2.758949468833E+0	3.798868646266E-3	4.044398247406E-3
-2.758742921668E+0	5.022948543396E-3	4.044398247406E-3
-2.758534682617E+0	4.474223072268E-3	4.044398247406E-3
-2.758324752006E+0	4.558642375519E-3	4.044398247406E-3
-2.758113130163E+0	4.052126556017E-3	4.044398247406E-3
-2.757899817415E+0	4.432013420643E-3	4.044398247406E-3
-2.757684814087E+0	4.178755510892E-3	4.044398247406E-3
-2.757468120507E+0	3.798868646266E-3	4.044398247406E-3
-2.757249737001E+0	3.841078297891E-3	4.044398247406E-3
-2.757029663896E+0	5.191787149896E-3	4.044398247406E-3
-2.756807901519E+0	4.220965162517E-3	4.044398247406E-3
-2.756584450197E+0	4.347594117393E-3	4.044398247406E-3
-2.756359310256E+0	4.263174814142E-3	4.044398247406E-3
