# 2023-01-06T12:17:33+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.262
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.190
# FWHM Valid: FALSE (No Signal)
# FIT MSE: 3.185014370144E-7
# Amplitude: 0.014511
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
-2.733879330406E+0	4.220965162517E-3	4.390907299348E-3
-2.733653300764E+0	3.587820388140E-3	4.390907299348E-3
-2.733387544049E+0	4.685271330394E-3	4.390907299348E-3
-2.733120339074E+0	4.220965162517E-3	4.390907299348E-3
-2.732855760613E+0	3.334562478389E-3	4.390907299348E-3
-2.732581603081E+0	4.094336207642E-3	4.390907299348E-3
-2.732350723442E+0	3.207933523513E-3	4.390907299348E-3
-2.732042542032E+0	3.545610736515E-3	4.390907299348E-3
-2.731746237661E+0	4.474223072268E-3	4.390907299348E-3
-2.731511784971E+0	4.558642375519E-3	4.390907299348E-3
-2.731228014267E+0	4.558642375519E-3	4.390907299348E-3
-2.730968073056E+0	4.896319588520E-3	4.390907299348E-3
-2.730694201009E+0	4.305384465768E-3	4.390907299348E-3
-2.730401317809E+0	4.558642375519E-3	4.390907299348E-3
-2.730153752800E+0	4.347594117393E-3	4.390907299348E-3
-2.729866380997E+0	3.545610736515E-3	4.390907299348E-3
-2.729546171135E+0	4.305384465768E-3	4.390907299348E-3
-2.729294598970E+0	4.896319588520E-3	4.390907299348E-3
-2.728986630073E+0	4.727480982019E-3	4.390907299348E-3
-2.728707583789E+0	4.052126556017E-3	4.390907299348E-3
-2.728419590971E+0	4.643061678769E-3	4.390907299348E-3
-2.728119757657E+0	4.896319588520E-3	4.390907299348E-3
-2.727853733496E+0	4.600852027144E-3	4.390907299348E-3
-2.727545806963E+0	4.854109936895E-3	4.390907299348E-3
-2.727215002827E+0	3.376772130014E-3	4.390907299348E-3
-2.726943997856E+0	3.503401084889E-3	4.390907299348E-3
-2.726635161796E+0	4.980738891770E-3	4.390907299348E-3
-2.726335624210E+0	4.980738891770E-3	4.390907299348E-3
-2.726042968305E+0	3.925497601141E-3	4.390907299348E-3
-2.725712576161E+0	4.685271330394E-3	4.390907299348E-3
-2.725423135315E+0	3.841078297891E-3	4.390907299348E-3
-2.725120511389E+0	3.714449343015E-3	4.390907299348E-3
-2.724783600910E+0	4.643061678769E-3	4.390907299348E-3
-2.724494509793E+0	4.727480982019E-3	4.390907299348E-3
-2.724203812135E+0	5.022948543396E-3	4.390907299348E-3
-2.723862784984E+0	4.643061678769E-3	4.390907299348E-3
-2.723526561975E+0	3.798868646266E-3	4.390907299348E-3
-2.723194317376E+0	3.883287949516E-3	4.390907299348E-3
-2.722886146091E+0	4.516432723893E-3	4.390907299348E-3
-2.722581541106E+0	4.854109936895E-3	4.390907299348E-3
-2.722223734781E+0	4.685271330394E-3	4.390907299348E-3
-2.721935337767E+0	4.136545859267E-3	4.390907299348E-3
-2.721591230095E+0	4.432013420643E-3	4.390907299348E-3
-2.721264011695E+0	3.798868646266E-3	4.390907299348E-3
-2.720921477395E+0	4.347594117393E-3	4.390907299348E-3
-2.720572219577E+0	4.600852027144E-3	4.390907299348E-3
-2.720286314888E+0	5.824931924274E-3	4.390907299348E-3
-2.719936713044E+0	4.474223072268E-3	4.390907299348E-3
-2.719582732901E+0	3.967707252766E-3	4.390907299348E-3
-2.719265467509E+0	3.925497601141E-3	4.390907299348E-3
-2.718908884710E+0	4.600852027144E-3	4.390907299348E-3
-2.718546265630E+0	5.360625756397E-3	4.390907299348E-3
-2.718231408885E+0	4.220965162517E-3	4.390907299348E-3
-2.717878299164E+0	4.769690633645E-3	4.390907299348E-3
-2.717547318476E+0	4.558642375519E-3	4.390907299348E-3
-2.717198000489E+0	4.052126556017E-3	4.390907299348E-3
-2.716813385169E+0	4.896319588520E-3	4.390907299348E-3
-2.716502930697E+0	4.347594117393E-3	4.390907299348E-3
-2.716131899976E+0	4.094336207642E-3	4.390907299348E-3
-2.715768560956E+0	4.474223072268E-3	4.390907299348E-3
-2.715436102796E+0	4.009916904391E-3	4.390907299348E-3
-2.715061035241E+0	4.432013420643E-3	4.390907299348E-3
-2.714713034468E+0	3.798868646266E-3	4.390907299348E-3
-2.714346705705E+0	3.925497601141E-3	4.390907299348E-3
-2.713949916688E+0	5.022948543396E-3	4.390907299348E-3
-2.713629843226E+0	3.461191433264E-3	4.390907299348E-3
-2.713265750864E+0	4.685271330394E-3	4.390907299348E-3
-2.712874198116E+0	4.516432723893E-3	4.390907299348E-3
-2.712513237018E+0	3.292352826763E-3	4.390907299348E-3
-2.712127956341E+0	4.052126556017E-3	4.390907299348E-3
-2.711764764545E+0	4.305384465768E-3	4.390907299348E-3
-2.711382978826E+0	5.191787149896E-3	4.390907299348E-3
-2.710987110974E+0	4.052126556017E-3	4.390907299348E-3
-2.710635034844E+0	4.474223072268E-3	4.390907299348E-3
-2.710234116121E+0	5.191787149896E-3	4.390907299348E-3
-2.709833713785E+0	4.516432723893E-3	4.390907299348E-3
-2.709478486490E+0	4.896319588520E-3	4.390907299348E-3
-2.709078331350E+0	5.191787149896E-3	4.390907299348E-3
-2.708681958982E+0	4.811900285270E-3	4.390907299348E-3
-2.708281605177E+0	4.558642375519E-3	4.390907299348E-3
-2.707862159335E+0	3.841078297891E-3	4.390907299348E-3
-2.707499959697E+0	3.630030039765E-3	4.390907299348E-3
-2.707090802392E+0	4.009916904391E-3	4.390907299348E-3
-2.706680058332E+0	3.292352826763E-3	4.390907299348E-3
-2.706322037048E+0	3.376772130014E-3	4.390907299348E-3
-2.705905079458E+0	4.305384465768E-3	4.390907299348E-3
-2.705503125630E+0	5.276206453147E-3	4.390907299348E-3
-2.705080443314E+0	5.993770530775E-3	4.390907299348E-3
-2.704655548107E+0	4.769690633645E-3	4.390907299348E-3
-2.704295386904E+0	3.503401084889E-3	4.390907299348E-3
-2.703865381469E+0	4.389803769018E-3	4.390907299348E-3
-2.703448412822E+0	5.487254711272E-3	4.390907299348E-3
-2.703060363296E+0	5.191787149896E-3	4.390907299348E-3
-2.702625137303E+0	4.178755510892E-3	4.390907299348E-3
-2.702221618484E+0	3.756658994640E-3	4.390907299348E-3
-2.701792401423E+0	4.389803769018E-3	4.390907299348E-3
-2.701363360913E+0	4.558642375519E-3	4.390907299348E-3
-2.700966480304E+0	3.925497601141E-3	4.390907299348E-3
-2.700534841212E+0	3.587820388140E-3	4.390907299348E-3
-2.700092498097E+0	4.136545859267E-3	4.390907299348E-3
-2.699700538361E+0	4.600852027144E-3	4.390907299348E-3
-2.699256723361E+0	4.474223072268E-3	4.390907299348E-3
-2.698835362681E+0	3.545610736515E-3	4.390907299348E-3
-2.698395458706E+0	4.389803769018E-3	4.390907299348E-3
-2.697939032528E+0	4.389803769018E-3	4.390907299348E-3
-2.697545096388E+0	4.432013420643E-3	4.390907299348E-3
-2.697090317484E+0	4.938529240145E-3	4.390907299348E-3
-2.696645781496E+0	4.178755510892E-3	4.390907299348E-3
-2.696235203630E+0	4.432013420643E-3	4.390907299348E-3
-2.695770811088E+0	5.360625756397E-3	4.390907299348E-3
-2.695345495974E+0	4.938529240145E-3	4.390907299348E-3
-2.694885122110E+0	4.854109936895E-3	4.390907299348E-3
-2.694433806392E+0	5.149577498271E-3	4.390907299348E-3
-2.694026079890E+0	4.389803769018E-3	4.390907299348E-3
-2.693564308277E+0	4.938529240145E-3	4.390907299348E-3
-2.693107424018E+0	5.445045059647E-3	4.390907299348E-3
-2.692695670575E+0	4.305384465768E-3	4.390907299348E-3
-2.692217895125E+0	4.769690633645E-3	4.390907299348E-3
-2.691772053794E+0	4.474223072268E-3	4.390907299348E-3
-2.691301003025E+0	4.220965162517E-3	4.390907299348E-3
-2.690818713458E+0	4.009916904391E-3	4.390907299348E-3
-2.690399748391E+0	4.052126556017E-3	4.390907299348E-3
-2.689922853722E+0	3.841078297891E-3	4.390907299348E-3
-2.689437096895E+0	4.136545859267E-3	4.390907299348E-3
-2.689005884926E+0	5.276206453147E-3	4.390907299348E-3
-2.688513719047E+0	4.938529240145E-3	4.390907299348E-3
-2.688053626945E+0	4.727480982019E-3	4.390907299348E-3
-2.687572591048E+0	4.094336207642E-3	4.390907299348E-3
-2.687096407590E+0	3.630030039765E-3	4.390907299348E-3
-2.686649988189E+0	3.165723871888E-3	4.390907299348E-3
-2.686170922758E+0	4.769690633645E-3	4.390907299348E-3
-2.685678369908E+0	5.360625756397E-3	4.390907299348E-3
-2.685242978886E+0	4.811900285270E-3	4.390907299348E-3
-2.684748913998E+0	4.220965162517E-3	4.390907299348E-3
-2.684277402938E+0	4.685271330394E-3	4.390907299348E-3
-2.683801595628E+0	4.896319588520E-3	4.390907299348E-3
-2.683311861556E+0	4.558642375519E-3	4.390907299348E-3
-2.682856517965E+0	4.516432723893E-3	4.390907299348E-3
-2.682354589713E+0	5.022948543396E-3	4.390907299348E-3
-2.681855865812E+0	4.685271330394E-3	4.390907299348E-3
-2.681407378065E+0	5.529464362898E-3	4.390907299348E-3
